
class	0	평민	평민1	평민2	평민3	평민4	평민5	평민6	평민7	평민8	평민9	평민10	평민11	평민12	평민13	평민14	평민15
class	1	전사	검객	검제	검황	검성	검신	전사6	전사7	전사8	전사9	전사10	전사11	전사12	전사13	전사14	전사15
class	2	도적	자객	진검	귀검	태성	패왕	도적6	도적7	도적8	도적9	도적10	도적11	도적12	도적13	도적14	도적15
class	3	주술사	술사	현사	현인	현자	마신	술사6	술사7	술사8	술사9	술사10	술사11	술사12	술사13	술사14	술사15
class	4	도사	도인	명인	진인	진선	신선	도사6	도사7	도사8	도사9	도사10	도사11	도사12	도사13	도사14	도사15
class	5	궁사	명궁	현궁	진탄	심안	신궁	궁사6	궁사7	궁사8	궁사9	궁사10	궁사11	궁사12	궁사13	궁사14	궁사15
;직업	레벨	경험치	hp	mp	might	grace	will	ac
1	37	2539600	60	30	1	0	0	-1
1	38	2989600	60	30	1	0	1	-1
1	39	3439600	60	30	1	1	0	-2
1	40	3889600	60	30	1	0	1	-1
1	41	4381120	60	30	1	0	0	-1
1	42	4872640	60	30	1	1	1	-2
1	43	5364160	60	30	1	0	0	-1
1	44	6084160	60	30	1	0	1	-1
1	45	6804160	60	30	1	1	0	-2
1	46	7787200	60	30	1	0	1	-1
1	47	8770240	60	30	1	0	0	-1
1	48	9753280	60	30	1	1	1	-2
1	49	11193280	60	30	1	0	0	-1
1	50	12633280	60	30	1	0	1	-1
1	51	14073280	60	30	1	1	0	-2
1	52	15703280	60	30	1	0	1	-1
1	53	17333280	60	30	1	0	0	-1
1	54	18963280	60	30	1	1	1	-2
1	55	21363280	60	30	1	0	0	-1
1	56	23763280	60	30	1	0	1	-1
1	57	26163280	60	30	1	1	0	-2
1	58	29663280	60	30	1	0	1	-1
1	59	35163280	60	30	1	0	0	-1
1	60	39663280	60	30	1	1	1	-2
1	61	47063280	60	30	1	0	0	-1
1	62	54463280	60	30	1	0	1	-1
1	63	62863280	60	30	1	1	0	-2
1	64	72183280	60	30	1	0	1	-1
1	65	80503280	60	30	1	0	0	-1
1	66	89823280	60	30	1	1	1	-2
1	67	100273280	60	30	1	0	0	-1
1	68	111273280	60	30	1	0	1	-1
1	69	124273280	60	30	1	1	0	-2
1	70	139273280	60	30	1	0	1	-1
1	71	156273280	60	30	1	0	0	-1
1	72	176273280	60	30	1	1	1	-2
1	73	199273280	60	30	1	0	0	-1
1	74	224273280	60	30	1	0	1	-1
1	75	254273280	60	30	1	1	0	-2
1	76	289273280	60	30	1	0	1	-1
1	77	329873280	60	30	1	0	0	-1
1	78	374273280	60	30	1	1	1	-2
1	79	424273280	60	30	1	0	0	-1
1	80	474273280	60	30	1	0	1	-1
1	81	529273280	60	30	1	1	0	-2
1	82	589273280	60	30	1	0	1	-1
1	83	654273280	60	30	1	0	0	-1
1	84	724273280	60	30	1	1	1	-2
1	85	804273280	60	30	1	0	0	-1
1	86	899273280	60	30	1	0	1	-1
1	87	994273280	60	30	1	1	0	-2
1	88	1099273280	60	30	1	0	1	-1
1	89	1204273280	60	30	1	0	0	-1
1	90	1349273280	60	30	1	1	1	-2
1	91	1479273280	60	30	1	0	0	-1
1	92	1579273280	60	30	1	0	1	-1
1	93	1679273280	60	30	1	1	0	-2
1	94	1789273280	60	30	1	0	1	-1
1	95	1909273280	60	30	1	0	0	-1
1	96	2039273280	60	30	1	1	1	-2
1	97	2159273280	60	30	1	0	0	-1
1	98	2379273280	60	30	1	0	1	-1
1	99	2609273280	60	30	1	1	0	-2

// 도적
2	5	1200
2	6	2100	50	40	1	1	1	-1
2	7	2880	50	40	0	0	1	-1
2	8	3840	50	40	1	0	1	-1
2	9	4840	50	40	0	1	1	-2
2	10	6760	50	40	1	0	1	-1
2	11	8680	50	40	0	0	1	-1
2	12	10600	50	40	1	1	1	-1
2	13	14440	50	40	0	0	1	-2
2	14	18280	50	40	1	0	1	-1
2	15	22120	50	40	0	1	1	-1
2	16	29800	50	40	1	0	1	-1
2	17	37480	50	40	0	0	1	-2
2	18	45160	50	40	1	1	1	-1
2	19	60520	50	40	0	0	1	-1
2	20	75880	50	40	1	0	1	-1
2	21	91240	50	40	0	1	1	-2
2	22	121960	50	40	1	0	1	-1
2	23	152680	50	40	0	0	1	-1
2	24	183400	50	40	1	1	1	-1
2	25	244840	50	40	0	0	1	-2
2	26	306280	50	40	1	0	1	-1
2	27	367720	50	40	0	1	1	-1
2	28	490600	50	40	1	0	1	-1
2	29	613480	50	40	0	0	1	-2
2	30	736360	50	40	1	1	1	-1
2	31	916360	50	40	0	0	1	-1
2	32	1096360	50	40	1	0	1	-1
2	33	1276360	50	40	0	1	1	-2
2	34	1526360	50	40	1	0	1	-1
2	35	1776360	50	40	0	0	1	-1
2	36	2026360	50	40	1	1	1	-1
2	37	2386360	50	40	0	0	1	-2
2	38	2746360	50	40	1	0	1	-1
2	39	3106360	50	40	0	1	1	-1
2	40	3496360	50	40	1	0	1	-1
2	41	3886360	50	40	0	0	1	-2
2	42	4276360	50	40	1	1	1	-1
2	43	4856360	50	40	0	0	1	-1
2	44	5436360	50	40	1	0	1	-1
2	45	6016360	50	40	0	1	1	-2
2	46	6796360	50	40	1	0	1	-1
2	47	7576360	50	40	0	0	1	-1
2	48	8356360	50	40	1	1	1	-1
2	49	9506360	50	40	0	0	1	-2
2	50	10656360	50	40	1	0	1	-1
2	51	11806360	50	40	0	1	1	-1
2	52	13116360	50	40	1	0	1	-1
2	53	14426360	50	40	0	0	1	-2
2	54	15736360	50	40	1	1	1	-1
2	55	17656360	50	40	0	0	1	-1
2	56	19576360	50	40	1	0	1	-1
2	57	21496360	50	40	0	1	1	-2
2	58	25696360	50	40	1	0	1	-1
2	59	29896360	50	40	0	0	1	-1
2	60	34096360	50	40	1	1	1	-1
2	61	39216360	50	40	0	0	1	-2
2	62	44336360	50	40	1	0	1	-1
2	63	49456360	50	40	0	1	1	-1
2	64	57436360	50	40	1	0	1	-1
2	65	65416360	50	40	0	0	1	-2
2	66	73396360	50	40	1	1	1	-1
2	67	82056360	50	40	0	0	1	-1
2	68	90716360	50	40	1	0	1	-1
2	69	99376360	50	40	0	1	1	-2
2	70	101076360	50	40	1	0	1	-1
2	71	121076360	50	40	0	0	1	-1
2	72	131076360	50	40	1	1	1	-1
2	73	141076360	50	40	0	0	1	-2
2	74	151076360	50	40	1	0	1	-1
2	75	161076360	50	40	0	1	1	-1
2	76	181076360	50	40	1	0	1	-1
2	77	201076360	50	40	0	0	1	-2
2	78	231076360	50	40	1	1	1	-1
2	79	251076360	50	40	0	0	1	-1
2	80	281076360	50	40	1	0	1	-1
2	81	311076360	50	40	0	1	1	-2
2	82	351076360	50	40	1	0	1	-1
2	83	391076360	50	40	0	0	1	-1
2	84	431076360	50	40	1	1	1	-1
2	85	471076360	50	40	0	0	1	-2
2	86	521076360	50	40	1	0	1	-1
2	87	571076360	50	40	0	1	1	-1
2	88	631076360	50	40	1	0	1	-1
2	89	691076360	50	40	0	0	1	-2
2	90	761076360	50	40	1	1	1	-1
2	91	841076360	50	40	0	0	1	-1
2	92	931076360	50	40	1	0	1	-1
2	93	1031076360	50	40	0	1	1	-2
2	94	1121076360	50	40	1	0	1	-1
2	95	1241076360	50	40	0	0	1	-1
2	96	1371076360	50	40	1	1	1	-1
2	97	1521076360	50	40	0	0	1	-2
2	98	1671076360	50	40	1	0	1	-1
2	99	1971076360	50	40	0	1	1	-1

// 주술사
3	5	1200
3	6	2160	40	65	1	1	1	-1
3	7	3240	40	65	0	1	0	-1
3	8	4320	40	65	0	1	1	-1
3	9	5400	40	65	1	1	0	-1
3	10	7560	40	65	0	1	1	-1
3	11	9720	40	65	0	1	0	-1
3	12	11880	40	65	1	1	1	-1
3	13	16200	40	65	0	1	0	-1
3	14	20520	40	65	0	1	1	-1
3	15	24840	40	65	1	1	0	-1
3	16	33480	40	65	0	1	1	-1
3	17	42120	40	65	0	1	0	-1
3	18	50760	40	65	1	1	1	-1
3	19	68040	40	65	0	1	0	-1
3	20	85320	40	65	0	1	1	-1
3	21	102600	40	65	1	1	0	-1
3	22	137160	40	65	0	1	1	-1
3	23	171720	40	65	0	1	0	-1
3	24	206280	40	65	1	1	1	-1
3	25	275400	40	65	0	1	0	-1
3	26	344520	40	65	0	1	1	-1
3	27	413640	40	65	1	1	0	-1
3	28	551880	40	65	0	1	1	-1
3	29	690120	40	65	0	1	0	-1
3	30	828360	40	65	1	1	1	-1
3	31	1028360	40	65	0	1	0	-1
3	32	1228360	40	65	0	1	1	-1
3	33	1428360	40	65	1	1	0	-1
3	34	1698360	40	65	0	1	1	-1
3	35	1968360	40	65	0	1	0	-1
3	36	2238360	40	65	1	1	1	-1
3	37	2648360	40	65	0	1	0	-1
3	38	3058360	40	65	0	1	1	-1
3	39	3468360	40	65	1	1	0	-1
3	40	3908360	40	65	0	1	1	-1
3	41	4348360	40	65	0	1	0	-1
3	42	4788360	40	65	1	1	1	-1
3	43	5438360	40	65	0	1	0	-1
3	44	6088360	40	65	0	1	1	-1
3	45	6738360	40	65	1	1	0	-1
3	46	7618360	40	65	0	1	1	-1
3	47	8498360	40	65	0	1	0	-1
3	48	9378360	40	65	1	1	1	-1
3	49	10678360	40	65	0	1	0	-1
3	50	11978360	40	65	0	1	1	-1
3	51	13278360	40	65	1	1	0	-1
3	52	14748360	40	65	0	1	1	-1
3	53	16218360	40	65	0	1	0	-1
3	54	17688360	40	65	1	1	1	-1
3	55	19848360	40	65	0	1	0	-1
3	56	22008360	40	65	0	1	1	-1
3	57	24168360	40	65	1	1	0	-1
3	58	27018360	40	65	0	1	1	-1
3	59	31868360	40	65	0	1	0	-1
3	60	36718360	40	65	1	1	1	-1
3	61	42478360	40	65	0	1	0	-1
3	62	49238360	40	65	0	1	1	-1
3	63	56998360	40	65	1	1	0	-1
3	64	65488360	40	65	0	1	1	-1
3	65	72978360	40	65	0	1	0	-1
3	66	81468360	40	65	1	1	1	-1
3	67	91178360	40	65	0	1	0	-1
3	68	99978360	40	65	0	1	1	-1
3	69	109978360	40	65	1	1	0	-1
3	70	132978360	40	65	0	1	1	-1
3	71	153978360	40	65	0	1	0	-1
3	72	179978360	40	65	1	1	1	-1
3	73	209978360	40	65	0	1	0	-1
3	74	244978360	40	65	0	1	1	-1
3	75	279978360	40	65	1	1	0	-1
3	76	329978360	40	65	0	1	1	-1
3	77	379978360	40	65	0	1	0	-1
3	78	439978360	40	65	1	1	1	-1
3	79	504978360	40	65	0	1	0	-1
3	80	574978360	40	65	0	1	1	-1
3	81	649978360	40	65	1	1	0	-1
3	82	729978360	40	65	0	1	1	-1
3	83	819978360	40	65	0	1	0	-1
3	84	914978360	40	65	1	1	1	-1
3	85	1014978360	40	65	0	1	0	-1
3	86	1119978360	40	65	0	1	1	-1
3	87	1229978360	40	65	1	1	0	-1
3	88	1339978360	40	65	0	1	1	-1
3	89	1459978360	40	65	0	1	0	-1
3	90	1579978360	40	65	1	1	1	-1
3	91	1609978360	40	65	0	1	0	-1
3	92	1739978360	40	65	0	1	1	-1
3	93	1889978360	40	65	1	1	0	-1
3	94	2049978360	40	65	0	1	1	-1
3	95	2209978360	40	65	0	1	0	-1
3	96	2379978360	40	65	1	1	1	-1
3	97	2569978360	40	65	0	1	0	-1
3	98	2769978360	40	65	0	1	1	-1
3	99	2969978360	40	65	1	1	0	-1

// 도사
4	5	1200
4	6	2240	55	40	1	1	1	-1
4	7	3280	55	40	0	0	0	-2
4	8	4320	55	40	1	1	1	-1
4	9	6120	55	40	0	0	0	-2
4	10	7920	55	40	1	1	1	-1
4	11	9720	55	40	0	0	0	-2
4	12	11540	55	40	1	1	1	-1
4	13	15860	55	40	0	0	0	-2
4	14	20180	55	40	1	1	1	-1
4	15	24500	55	40	0	0	0	-2
4	16	33140	55	40	1	1	1	-1
4	17	41780	55	40	0	0	0	-2
4	18	50420	55	40	1	1	1	-1
4	19	67700	55	40	0	0	0	-2
4	20	84980	55	40	1	1	1	-1
4	21	102260	55	40	0	0	0	-2
4	22	136260	55	40	1	1	1	-1
4	23	170260	55	40	0	0	0	-2
4	24	204260	55	40	1	1	1	-1
4	25	273260	55	40	0	0	0	-2
4	26	342260	55	40	1	1	1	-1
4	27	411260	55	40	0	0	0	-2
4	28	551260	55	40	1	1	1	-1
4	29	691260	55	40	0	0	0	-2
4	30	831260	55	40	1	1	1	-1
4	31	1011260	55	40	0	0	0	-2
4	32	1191260	55	40	1	1	1	-1
4	33	1371260	55	40	0	0	0	-2
4	34	1661260	55	40	1	1	1	-1
4	35	1951260	55	40	0	0	0	-2
4	36	2241260	55	40	1	1	1	-1
4	37	2651260	55	40	0	0	0	-2
4	38	3061260	55	40	1	1	1	-1
4	39	3471260	55	40	0	0	0	-2
4	40	3911260	55	40	1	1	1	-1
4	41	4351260	55	40	0	0	0	-2
4	42	4791260	55	40	1	1	1	-1
4	43	5431260	55	40	0	0	0	-2
4	44	6071260	55	40	1	1	1	-1
4	45	6711260	55	40	0	0	0	-2
4	46	7591260	55	40	1	1	1	-1
4	47	8471260	55	40	0	0	0	-2
4	48	9351260	55	40	1	1	1	-1
4	49	10651260	55	40	0	0	0	-2
4	50	11951260	55	40	1	1	1	-1
4	51	13251260	55	40	0	0	0	-2
4	52	14751260	55	40	1	1	1	-1
4	53	16251260	55	40	0	0	0	-2
4	54	17751260	55	40	1	1	1	-1
4	55	19911260	55	40	0	0	0	-2
4	56	22071260	55	40	1	1	1	-1
4	57	24231260	55	40	0	0	0	-2
4	58	27571260	55	40	1	1	1	-1
4	59	32421260	55	40	0	0	0	-2
4	60	36771260	55	40	1	1	1	-1
4	61	43671260	55	40	0	0	0	-2
4	62	50571260	55	40	1	1	1	-1
4	63	57471260	55	40	0	0	0	-2
4	64	65471260	55	40	1	1	1	-1
4	65	73471260	55	40	0	0	0	-2
4	66	81471260	55	40	1	1	1	-1
4	67	91471260	55	40	0	0	0	-2
4	68	10047126	55	40	1	1	1	-1
4	69	110471260	55	40	0	0	0	-2
4	70	120471260	55	40	1	1	1	-1
4	71	130471260	55	40	0	0	0	-2
4	72	150471260	55	40	1	1	1	-1
4	73	170471260	55	40	0	0	0	-2
4	74	190471260	55	40	1	1	1	-1
4	75	210471260	55	40	0	0	0	-2
4	76	240471260	55	40	1	1	1	-1
4	77	270471260	55	40	0	0	0	-2
4	78	300471260	55	40	1	1	1	-1
4	79	340471260	55	40	0	0	0	-2
4	80	380471260	55	40	1	1	1	-1
4	81	420471260	55	40	0	0	0	-2
4	82	470471260	55	40	1	1	1	-1
4	83	520471260	55	40	0	0	0	-2
4	84	580471260	55	40	1	1	1	-1
4	85	640471260	55	40	0	0	0	-2
4	86	710471260	55	40	1	1	1	-1
4	87	790471260	55	40	0	0	0	-2
4	88	880471260	55	40	1	1	1	-1
4	89	980471260	55	40	0	0	0	-2
4	90	108047126	55	40	1	1	1	-1
4	91	1190471260	55	40	0	0	0	-2
4	92	1390471260	55	40	1	1	1	-1
4	93	1520471260	55	40	0	0	0	-2
4	94	1650471260	55	40	1	1	1	-1
4	95	1790471260	55	40	0	0	0	-2
4	96	1830471260	55	40	1	1	1	-1
4	97	1980471260	55	40	0	0	0	-2
4	98	2130471260	55	40	1	1	1	-1
4	99	2300471260	55	40	0	0	0	-2

// 궁사
5	5	1200
5	6	2160
5	7	3240
5	8	4320
5	9	5400
5	10	7560
5	11	9720
5	12	11880
5	13	16200
5	14	20520
5	15	24840
5	16	33480
5	17	42120
5	18	50760
5	19	68040
5	20	85320
5	21	102600
5	22	137160
5	23	171720
5	24	206280
5	25	275400
5	26	344520
5	27	413640
5	28	551880
5	29	690120
5	30	828360
5	31	1028360
5	32	1228360
5	33	1428360
5	34	1698360
5	35	1968360
5	36	2238360
5	37	2648360
5	38	3058360
5	39	3468360
5	40	3908360
5	41	4348360
5	42	4788360
5	43	5438360
5	44	6088360
5	45	6738360
5	46	7618360
5	47	8498360
5	48	9378360
5	49	10678360
5	50	11978360
5	51	13278360
5	52	14748360
5	53	16218360
5	54	17688360
5	55	19848360
5	56	22008360
5	57	24168360
5	58	27018360
5	59	31868360
5	60	36718360
5	61	42478360
5	62	49238360
5	63	56998360
5	64	65488360
5	65	72978360
5	66	81468360
5	67	91178360
5	68	99978360
5	69	109978360
5	70	132978360
5	71	153978360
5	72	179978360
5	73	209978360
5	74	244978360
5	75	279978360
5	76	329978360
5	77	379978360
5	78	439978360
5	79	504978360
5	80	574978360
5	81	649978360
5	82	729978360
5	83	819978360
5	84	914978360
5	85	1014978360
5	86	1119978360
5	87	1229978360
5	88	1339978360
5	89	1459978360
5	90	1579978360
5	91	1609978360
5	92	1739978360
5	93	1889978360
5	94	2049978360
5	95	2209978360
5	96	2379978360
5	97	2569978360
5	98	2769978360
5	99	2969978360
